Team,Type,POS,Name,POS.1,AGE,SH,ACQUIRED,GP,G,A,P,GAA,SV%,League,Notes,NHL eP,Goalie Equivalency
VGK,Prospects,F,"Demek, Jakub",RW,20,L,Drafted (128 - 2021),15,4,7,11,,,WHL,,8,0
VGK,Prospects,F,"Hemmerling, Ben",RW,19,R,Drafted (177 - 2022),55,21,41,62,,,WHL,,13,0
VGK,Prospects,F,"Uronen, Tuomas",RW,18,R,Drafted (192 - 2023),39,20,23,43,,,U20SM-sarja,,8,0
VGK,Prospects,D,"Kärki, Arttu",LD,18,L,Drafted (96 - 2023),36,13,26,39,,,U20SM-sarja,,7,0
VGK,Prospects,D,"Ellis, Noah",RD,21,R,Drafted (184 - 2020),23,1,1,2,,,NCAA,,1,0
VGK,Prospects,D,"Cholach, Artur",LD,20,L,Drafted (190 - 2021),60,3,18,21,,,OHL,,4,0
VGK,Prospects,D,"Wiebe, Abram",LD,20,L,Drafted (209 - 2022),54,12,41,53,,,BCHL,,6,0
VGK,Prospects,G,"Whitehead, Cameron",G,20,L,Drafted (128 - 2022),43,,,,2.83,0.904,USHL,,0,0.864201818
VGK,Reserve,F,"Guay, Patrick","LW, C",21,L,Drafted (145 - 2022),49,16,36,52,,,ECHL,,13,0
SEA,Majors,C,"Beniers, Matthew",C,20,L,Drafted (2 - 2021),80,24,33,57,,,NHL,,57,0
SEA,Majors,C,"Wright, Shane",C,19,R,Drafted (4 - 2022),20,15,22,37,,,OHL,,22,0
SEA,Minors,F,"Kartye, Tye",LW,22,L,Signed to ELC,72,28,29,57,,,AHL,,25,0
SEA,Minors,F,"Sale, Eduard","LW, RW",18,L,Drafted (20 - 2023),43,7,7,14,,,Czechia,,16,0
SEA,Minors,F,"Firkus, Jagger",RW,19,R,Drafted (35 - 2022),66,40,48,88,,,WHL,,15,0
SEA,Minors,F,"Goyette, David",C,19,L,Drafted (61 - 2022),63,41,51,92,,,OHL,,17,0
SEA,Minors,F,"Winterton, Ryan",C,20,R,Drafted (67 - 2021),34,12,24,36,,,OHL,,13,0
SEA,Minors,F,"Robertson, Tucker",C,20,R,Drafted (123 - 2022),68,36,54,90,,,OHL,,16,0
SEA,Minors,F,"Melanson, Jacob",RW,20,R,Drafted (131 - 2021),59,50,49,99,,,QMJHL,,16,0
SEA,Minors,F,"Morrison, Logan",C,21,R,Signed to ELC,56,40,54,94,,,OHL,,20,0
SEA,Minors,F,"Henman, Luke",C,23,L,Signed to ELC,67,7,8,15,,,AHL,,7,0
SEA,Minors,F,"Petman, Ville","C, LW",23,L,Signed to ELC,72,12,16,28,,,AHL,,12,0
SEA,Minors,D,"Seppälä, Peetro",LD,23,L,Signed to ELC,70,1,11,12,,,AHL,,5,0
SEA,Minors,D,"Evans, Ryker",LD,21,L,Drafted (35 - 2021),71,6,38,44,,,AHL,,20,0
SEA,Minors,D,"Nelson, Ty",RD,19,R,Drafted (68 - 2022),67,24,52,76,,,OHL,,13,0
SEA,Minors,D,"Ottavainen, Ville",RD,21,R,Drafted (99 - 2021),54,5,11,16,,,Liiga,,11,0
SEA,Loaned,F,"Nyman, Jani","LW, RW",19,L,Drafted (49 - 2022),29,10,4,14,,,Liiga,,17,0
SEA,Loaned,G,"Kokko, Niklas",G,19,L,Drafted (58 - 2022),14,,,,2.95,0.901,Mestis,,0,0.865735928
SEA,Prospects,F,"Rehkopf, Carson",LW,18,L,Drafted (50 - 2023),68,30,29,59,,,OHL,,10,0
SEA,Prospects,F,"Fisker Mølgaard, Oscar",C,18,L,Drafted (52 - 2023),41,4,3,7,,,SHL,,8,0
SEA,Prospects,F,"MacDonald, Ben",C,19,L,Drafted (91 - 2022),52,23,27,50,,,BCHL,,6,0
SEA,Prospects,F,"Loshko, Andrei","RW, C",18,L,Drafted (116 - 2023),67,22,48,70,,,QMJHL,,10,0
SEA,Prospects,F,"Hall, Barrett","C, LW, RW",19,L,Drafted (164 - 2022),56,17,28,45,,,USHL,,9,0
SEA,Prospects,F,"Forsfjäll, Zeb",C,18,L,Drafted (180 - 2023),34,8,14,22,,,J20 Nationell,,5,0
SEA,Prospects,F,"Janicke, Justin",LW,20,L,Drafted (195 - 2021),36,7,7,14,,,NCAA,,6,0
SEA,Prospects,F,"Jackson, Kyle",C,20,L,Drafted (196 - 2022),67,31,52,83,,,OHL,,15,0
SEA,Prospects,F,"Wisdom, Zaccharya",RW,19,R,Drafted (212 - 2023),59,28,20,48,,,USHL,,10,0
SEA,Prospects,D,"Dragicevic, Lukas",RD,18,R,Drafted (57 - 2023),68,15,60,75,,,WHL,,13,0
SEA,Prospects,D,"Price, Caden",LD,18,L,Drafted (84 - 2023),65,5,35,40,,,WHL,,7,0
SEA,Prospects,D,"Jugnauth, Tyson",LD,19,L,Drafted (100 - 2022),32,5,10,15,,,NCAA,,7,0
SEA,Prospects,D,"Hammell, Kaden",RD,18,R,Drafted (148 - 2023),67,8,18,26,,,WHL,,4,0
SEA,Prospects,G,"Vyazovoi, Semyon",G,20,L,Drafted (163 - 2021),24,,,,2.27,0.92,VHL,,0,0.885817027
SEA,Prospects,G,"Vedenpää, Visa",G,18,L,Drafted (168 - 2023),31,,,,2.63,0.886,U20SM-sarja,,0,0.853252471
TOR,Majors,LW,"Knies, Matthew",LW,20,L,Drafted (57 - 2021),40,21,21,42,,,NCAA,,17,0
TOR,Minors,F,"Robertson, Nicholas",LW,22,L,Drafted (53 - 2019),15,2,3,5,,,NHL,,5,0
TOR,Minors,F,"Steeves, Alex","LW, RW",23,L,Signed to ELC,65,19,32,51,,,AHL,,25,0
TOR,Minors,F,"Der-Arguchintsev, Semyon",C,23,R,Drafted (76 - 2018),50,12,28,40,,,AHL,,26,0
TOR,Minors,F,"Cowan, Easton","C, RW",18,L,Drafted (28 - 2023),68,20,33,53,,,OHL,,9,0
TOR,Minors,F,"Minten, Fraser","C, LW",19,L,Drafted (38 - 2022),57,31,36,67,,,WHL,,14,0
TOR,Minors,F,"Hirvonen, Roni",LW,21,L,Drafted (59 - 2020),57,15,13,28,,,Liiga,,18,0
TOR,Minors,F,"Ovchinnikov, Dmitry","C, LW, RW",21,L,Drafted (137 - 2020),68,5,8,13,,,KHL,,12,0
TOR,Minors,F,"Voit, Ty",LW,20,R,Drafted (153 - 2021),67,24,81,105,,,OHL,,19,0
TOR,Minors,F,"Tverberg, Ryan",C,21,R,Drafted (213 - 2020),35,15,15,30,,,NCAA,,14,0
TOR,Minors,F,"Ellis, Max",RW,23,R,Signed to ELC,49,10,10,20,,,AHL,,13,0
TOR,Minors,F,"Kressler, Braeden",C,20,R,Signed to ELC,47,25,27,52,,,OHL,,13,0
TOR,Minors,D,"Niemelä, Topi",RD,21,R,Drafted (64 - 2020),58,8,10,18,,,Liiga,,11,0
TOR,Minors,D,"Kokkonen, Mikko",LD,22,L,Drafted (84 - 2019),36,0,6,6,,,AHL,,5,0
TOR,Minors,D,"Villeneuve, William",RD,21,R,Drafted (122 - 2020),54,3,22,25,,,AHL,,15,0
TOR,Minors,G,"Hildeby, Dennis",G,22,L,Drafted (122 - 2022),21,,,,2.25,0.918,SHL,,0,0.898681718
TOR,Minors,G,"Peksa, Vyacheslav",G,21,L,Drafted (185 - 2021),40,,,,2.34,0.921,VHL,,0,0.88638974
TOR,Loaned,G,"Akhtiamov, Artur",G,21,L,Drafted (106 - 2020),39,,,,1.74,0.943,VHL,,0,0.898989423
TOR,Prospects,F,"Moldenhauer, Nicholas","RW, C",19,R,Drafted (95 - 2022),55,30,45,75,,,USHL,,16,0
TOR,Prospects,F,"Grebenkin, Nikita",RW,20,L,Drafted (135 - 2022),45,9,17,26,,,KHL,,37,0
TOR,Prospects,F,"Malinoski, Hudson",C,19,L,Drafted (153 - 2023),44,16,54,70,,,AJHL,,8,0
TOR,Prospects,F,"Miettinen, Veeti",RW,21,L,Drafted (168 - 2020),41,12,24,36,,,NCAA,,14,0
TOR,Prospects,F,"Miller, Joe","C, LW, RW",21,R,Drafted (180 - 2020),33,13,15,28,,,NCAA,,13,0
TOR,Prospects,F,"Lisowsky, Brandon",LW,19,L,Drafted (218 - 2022),65,38,33,71,,,WHL,,13,0
TOR,Prospects,D,"Koster, Mike",LD,22,L,Drafted (146 - 2019),40,6,23,29,,,NCAA,,12,0
TOR,Prospects,D,"Chadwick, Noah",LD,18,L,Drafted (185 - 2023),67,5,15,20,,,WHL,,3,0
TOR,Prospects,D,"Fusco, John",LD,22,L,Drafted (189 - 2020),22,3,8,11,,,NCAA,,8,0
TOR,Reserve,F,"Kizimov, Semyon",RW,23,L,Drafted (211 - 2018),26,7,13,20,,,VHL,,21,0
TBL,Minors,F,"Fortier, Gabriel",LW,23,L,Drafted (59 - 2018),67,11,18,29,,,AHL,,14,0
TBL,Minors,F,"Finley, Jack",C,21,R,Drafted (57 - 2020),67,12,9,21,,,AHL,,10,0
TBL,Minors,F,"Goncalves, Gage",LW,22,L,Drafted (62 - 2020),71,13,41,54,,,AHL,,24,0
TBL,Minors,F,"Groshev, Maxim","RW, LW",21,L,Drafted (85 - 2020),34,4,2,6,,,KHL,,11,0
TBL,Minors,F,"Edmonds, Lucas","RW, LW",22,R,Drafted (86 - 2022),49,15,12,27,,,AHL,,18,0
TBL,Minors,F,"Dureau, Jaydon",LW,22,L,Drafted (147 - 2020),36,6,13,19,,,ECHL,,6,0
TBL,Minors,F,"MacArthur, Bennett",LW,22,L,Signed to ELC,53,10,18,28,,,ECHL,,6,0
TBL,Minors,F,"Usau, Ilya",C,22,L,Signed to ELC,57,4,12,16,,,AHL,,9,0
TBL,Minors,D,"Thompson, Jack",RD,21,R,Drafted (93 - 2020),71,8,15,23,,,AHL,,10,0
TBL,Minors,D,"Schmidt, Roman",RD,20,R,Drafted (96 - 2021),64,4,24,28,,,OHL,,5,0
TBL,Minors,D,"Crozier, Maxwell",RD,23,R,Drafted (120 - 2019),37,3,21,24,,,NCAA,,10,0
TBL,Minors,D,"Carlile, Declan",LD,23,L,Signed to ELC,69,8,16,24,,,AHL,,11,0
TBL,Minors,D,"Lilleberg, Emil Martinsen",LD,22,L,Signed to ELC,46,3,8,11,,,SHL,,11,0
